InvoiceNo,CustomerID,InvoiceDate,Quantity,UnitPrice,Country
14017,1475,2025-12-01 06:16:48.350205,5,16.63,Germany
20451,1699,2025-05-14 06:16:48.350205,7,190.87,Australia
72956,1975,2025-04-11 06:16:48.350205,1,59.82,UK
20278,1782,2026-02-27 06:16:48.350205,5,179.48,Australia
53764,1189,2025-03-26 06:16:48.350205,1,90.9,India
11134,1957,2025-09-27 06:16:48.350205,8,189.79,Germany
72943,1686,2026-02-02 06:16:48.350205,4,211.67,UK
64318,1957,2025-08-09 06:16:48.350205,4,153.79,Australia
70128,1562,2025-07-21 06:16:48.350205,2,330.03,Australia
98056,1875,2025-05-13 06:16:48.350205,5,459.83,Canada
31869,1566,2025-08-04 06:16:48.350205,1,203.29,Germany
15039,1243,2025-10-07 06:16:48.350205,9,100.21,India
31281,1831,2025-08-24 06:16:48.350205,5,139.01,USA
20442,1504,2025-04-04 06:16:48.350205,6,427.73,Germany
83788,1130,2026-02-18 06:16:48.350205,2,287.96,India
37586,1484,2025-05-11 06:16:48.350205,1,230.23,India
63053,1818,2025-12-06 06:16:48.350205,4,79.07,Germany
60489,1646,2025-07-24 06:16:48.350205,7,227.62,UK
93104,1020,2025-08-03 06:16:48.350205,6,142.85,Germany
96346,1840,2025-11-09 06:16:48.350205,1,471.87,Australia
77087,1166,2025-10-04 06:16:48.350205,1,442.61,Canada
22625,1273,2025-03-23 06:16:48.350205,8,46.53,Australia
44397,1387,2025-09-20 06:16:48.350205,4,260.74,India
68671,1600,2025-06-12 06:16:48.350205,5,116.4,India
76897,1315,2025-12-23 06:16:48.350205,7,208.33,USA
36149,1013,2025-12-09 06:16:48.350205,8,439.04,India
70030,1241,2025-12-02 06:16:48.350205,7,266.12,USA
79906,1776,2026-01-28 06:16:48.350205,2,170.44,India
15283,1345,2025-08-18 06:16:48.350205,4,107.9,India
17610,1564,2026-01-11 06:16:48.350205,1,401.16,Germany
53326,1897,2025-06-07 06:16:48.350205,9,314.14,Germany
24924,1339,2025-10-13 06:16:48.350205,3,236.69,Canada
86162,1091,2026-01-19 06:16:48.350205,3,112.65,Australia
10869,1366,2026-02-23 06:16:48.350205,9,170.45,UK
11014,1955,2025-05-18 06:16:48.350205,3,480.12,Canada
20103,1454,2026-02-07 06:16:48.350205,8,262.44,India
92522,1427,2025-10-09 06:16:48.350205,2,203.35,Canada
43458,1508,2026-02-02 06:16:48.350205,3,263.1,Germany
92409,1775,2026-01-20 06:16:48.350205,2,390.6,Australia
33248,1942,2025-11-22 06:16:48.350205,1,173.35,India
99160,1034,2025-12-10 06:16:48.350205,2,93.46,India
53516,1205,2025-11-14 06:16:48.350205,8,294.54,Canada
39061,1080,2026-02-07 06:16:48.350205,9,334.28,Australia
34170,1931,2025-03-23 06:16:48.350205,2,357.8,USA
18024,1561,2025-03-31 06:16:48.350205,7,441.58,UK
92214,1871,2025-07-21 06:16:48.350205,5,188.73,Australia
95947,1387,2026-01-04 06:16:48.350205,3,42.3,Canada
53803,1001,2025-08-14 06:16:48.350205,9,479.38,Canada
29296,1389,2025-07-04 06:16:48.350205,6,220.33,UK
96664,1565,2025-08-01 06:16:48.350205,1,313.51,India
28257,1105,2026-02-20 06:16:48.350205,5,334.82,India
22855,1771,2026-02-10 06:16:48.350205,7,275.52,USA
95178,1821,2025-10-12 06:16:48.350205,4,106.6,Canada
30025,1476,2025-11-09 06:16:48.350205,8,378.8,UK
14458,1702,2025-03-28 06:16:48.350205,5,402.86,Canada
73610,1401,2025-05-19 06:16:48.350205,9,278.72,Germany
80843,1729,2025-11-18 06:16:48.350205,9,246.84,Canada
93961,1555,2025-12-19 06:16:48.350205,9,61.4,Canada
59831,1161,2025-08-11 06:16:48.350205,1,46.56,Germany
53427,1201,2025-04-14 06:16:48.350205,2,173.08,Germany
48506,1957,2025-12-14 06:16:48.350205,3,158.87,UK
15668,1995,2025-03-12 06:16:48.350205,4,477.06,India
57195,1269,2026-02-07 06:16:48.350205,9,392.89,USA
83233,1862,2025-05-23 06:16:48.350205,6,331.66,Germany
34417,1815,2025-12-18 06:16:48.350205,1,261.24,India
91982,1270,2025-04-22 06:16:48.350205,9,87.85,UK
20751,1455,2025-07-16 06:16:48.350205,6,489.34,Australia
56218,1461,2025-07-21 06:16:48.350205,4,190.65,Canada
17352,1726,2025-12-10 06:16:48.350205,4,57.93,UK
89052,1251,2025-12-08 06:16:48.350205,3,249.43,UK
98835,1701,2025-04-28 06:16:48.350205,7,437.63,Germany
38927,1295,2025-11-01 06:16:48.350205,3,444.21,USA
51094,1724,2025-08-19 06:16:48.350205,2,10.43,Germany
64122,1719,2025-08-02 06:16:48.350205,8,443.72,Canada
39493,1748,2026-02-15 06:16:48.350205,4,139.38,Germany
83539,1337,2025-04-16 06:16:48.350205,8,24.29,Canada
41707,1878,2025-12-01 06:16:48.350205,1,424.66,Germany
78814,1052,2025-11-17 06:16:48.350205,5,432.61,Australia
17296,1791,2025-08-20 06:16:48.350205,9,300.13,USA
35398,1921,2025-05-01 06:16:48.350205,1,289.34,Australia
45842,1216,2025-10-15 06:16:48.350205,4,407.49,India
23261,1763,2025-04-30 06:16:48.350205,6,394.22,USA
86709,1187,2025-03-08 06:16:48.350205,8,445.6,Germany
66704,1379,2026-01-17 06:16:48.350205,3,278.61,UK
77173,1492,2025-11-24 06:16:48.350205,5,483.99,India
41781,1040,2025-03-04 06:16:48.350205,7,498.09,UK
23652,1156,2025-09-03 06:16:48.350205,1,62.69,Australia
15103,1014,2025-11-20 06:16:48.350205,7,425.52,USA
35500,1812,2026-02-17 06:16:48.350205,8,252.41,India
45529,1064,2025-06-11 06:16:48.350205,8,196.85,Australia
28452,1856,2025-06-24 06:16:48.350205,9,308.47,Germany
59393,1838,2025-04-08 06:16:48.350205,6,32.7,UK
41174,1520,2025-10-24 06:16:48.350205,6,255.7,Germany
74450,1343,2025-06-18 06:16:48.350205,2,436.09,Canada
45436,1128,2025-08-28 06:16:48.350205,3,110.66,India
57406,1647,2025-08-25 06:16:48.350205,4,216.06,UK
73059,1471,2025-06-28 06:16:48.350205,4,470.04,USA
25954,1062,2025-11-26 06:16:48.350205,8,217.14,USA
92722,1138,2025-10-21 06:16:48.350205,1,182.39,USA
22356,1498,2025-06-04 06:16:48.350205,4,223.07,Australia
12187,1592,2025-04-23 06:16:48.350205,4,262.13,USA
87243,1391,2025-04-19 06:16:48.350205,1,317.84,UK
45098,1674,2025-08-23 06:16:48.350205,3,401.34,Australia
31225,1418,2025-04-14 06:16:48.350205,5,228.79,Canada
13606,1288,2025-09-13 06:16:48.350205,6,409.65,USA
67620,1378,2025-07-19 06:16:48.350205,9,269.19,USA
42828,1772,2025-12-11 06:16:48.350205,9,172.55,Australia
36489,1489,2026-02-21 06:16:48.350205,9,330.69,USA
24387,1230,2025-08-25 06:16:48.350205,1,360.27,Canada
79463,1040,2025-08-12 06:16:48.350205,9,281.23,Australia
81832,1027,2026-02-25 06:16:48.350205,8,33.02,Australia
12591,1134,2025-04-23 06:16:48.350205,2,89.09,India
58516,1200,2025-11-02 06:16:48.350205,1,146.22,Australia
72061,1839,2025-03-04 06:16:48.350205,1,144.9,USA
76736,1779,2025-10-11 06:16:48.350205,6,338.34,Australia
91257,1929,2025-07-08 06:16:48.350205,9,14.08,USA
71753,1032,2026-01-05 06:16:48.350205,7,379.06,USA
94774,1047,2026-01-04 06:16:48.350205,5,136.34,Australia
21087,1502,2025-06-03 06:16:48.350205,2,158.46,India
40816,1406,2025-06-04 06:16:48.350205,1,266.32,USA
33408,1573,2025-03-02 06:16:48.350205,2,111.88,India
10136,1727,2025-06-08 06:16:48.350205,1,442.81,India
27413,1804,2025-12-20 06:16:48.350205,3,47.26,Australia
69500,1098,2025-11-06 06:16:48.350205,6,224.97,Germany
94514,1683,2025-04-23 06:16:48.350205,8,425.46,Germany
66358,1871,2025-08-01 06:16:48.350205,3,309.84,USA
76197,1725,2026-01-11 06:16:48.350205,9,149.7,UK
42854,1986,2025-10-12 06:16:48.350205,5,213.28,Germany
86240,1546,2025-03-29 06:16:48.350205,7,354.81,Australia
26322,1960,2025-05-27 06:16:48.350205,8,486.76,Australia
16968,1738,2025-10-26 06:16:48.350205,3,447.1,Germany
37518,1612,2025-06-18 06:16:48.350205,2,174.5,UK
61925,1942,2025-07-04 06:16:48.350205,2,499.11,Canada
69848,1461,2026-02-02 06:16:48.350205,5,6.73,USA
11700,1642,2025-10-14 06:16:48.350205,1,18.68,Canada
33199,1768,2025-08-30 06:16:48.350205,2,412.8,Canada
54589,1004,2025-10-06 06:16:48.350205,9,103.73,India
42115,1217,2025-12-09 06:16:48.350205,7,35.08,India
71934,1502,2025-05-18 06:16:48.350205,6,122.39,USA
64316,1766,2025-11-27 06:16:48.350205,9,215.92,UK
15520,1397,2025-03-24 06:16:48.350205,7,366.63,India
46455,1870,2025-08-14 06:16:48.350205,5,314.05,Germany
96465,1794,2025-11-20 06:16:48.350205,9,122.62,USA
51605,1392,2025-04-24 06:16:48.350205,6,254.12,Australia
24955,1206,2026-01-27 06:16:48.350205,6,463.48,Canada
54049,1014,2025-07-24 06:16:48.350205,4,408.43,USA
23917,1857,2025-08-03 06:16:48.350205,1,164.98,Australia
80293,1553,2025-04-06 06:16:48.350205,5,491.22,Australia
88581,1891,2025-11-27 06:16:48.350205,9,355.77,India
74925,1460,2025-06-29 06:16:48.350205,8,35.91,Australia
80269,1690,2025-04-05 06:16:48.350205,8,22.4,UK
40954,1574,2025-03-28 06:16:48.350205,5,88.36,Australia
82617,1863,2025-12-24 06:16:48.350205,9,365.29,Australia
51458,1742,2025-10-17 06:16:48.350205,3,95.95,Canada
99037,1240,2026-02-03 06:16:48.350205,3,258.19,UK
31113,1563,2026-01-09 06:16:48.350205,1,51.16,USA
53939,1095,2025-05-27 06:16:48.350205,9,460.84,UK
39345,1899,2025-03-20 06:16:48.350205,6,175.26,UK
56313,1733,2025-07-29 06:16:48.350205,2,454.53,USA
79166,1484,2025-07-08 06:16:48.350205,8,472.71,Canada
57861,1406,2025-08-17 06:16:48.350205,9,8.03,Australia
59298,1230,2025-12-19 06:16:48.350205,9,234.75,UK
57221,1748,2025-08-17 06:16:48.350205,2,17.2,UK
54942,1654,2025-05-01 06:16:48.350205,2,454.8,USA
13453,1170,2026-01-19 06:16:48.350205,7,261.61,Germany
64935,1540,2025-12-16 06:16:48.350205,4,42.1,UK
53370,1035,2025-06-03 06:16:48.350205,1,59.59,India
18328,1524,2025-05-20 06:16:48.350205,8,194.84,Australia
25534,1159,2026-01-09 06:16:48.350205,2,470.42,Australia
95280,1838,2025-08-20 06:16:48.350205,3,347.99,Canada
94925,1698,2025-12-18 06:16:48.350205,5,434.47,UK
46320,1242,2025-10-06 06:16:48.350205,3,186.4,USA
59170,1085,2026-02-20 06:16:48.350205,7,26.39,India
90201,1795,2025-03-25 06:16:48.350205,7,487.29,USA
18640,1577,2025-08-11 06:16:48.350205,2,13.5,UK
40049,1681,2025-03-12 06:16:48.350205,7,474.09,India
15618,1556,2025-04-08 06:16:48.350205,6,187.5,Canada
66053,1573,2026-02-03 06:16:48.350205,9,9.99,Canada
11920,1952,2025-08-24 06:16:48.350205,9,346.13,Canada
53937,1645,2026-01-20 06:16:48.350205,2,490.37,Germany
79724,1795,2025-07-04 06:16:48.350205,7,482.98,USA
22207,1027,2025-04-24 06:16:48.350205,5,84.66,UK
75774,1619,2025-07-15 06:16:48.350205,6,94.72,India
42972,1555,2025-12-22 06:16:48.350205,1,284.94,Australia
20799,1339,2025-07-01 06:16:48.350205,7,320.47,Australia
81088,1797,2025-07-24 06:16:48.350205,6,371.01,USA
38916,1957,2025-09-19 06:16:48.350205,4,94.62,UK
80463,1330,2026-01-25 06:16:48.350205,1,479.71,Germany
86700,1639,2025-09-13 06:16:48.350205,9,321.18,UK
47158,1505,2025-08-24 06:16:48.350205,4,424.29,USA
94607,1347,2025-12-11 06:16:48.350205,2,272.33,UK
81696,1472,2025-06-28 06:16:48.350205,8,210.07,Australia
71510,1230,2025-06-19 06:16:48.350205,2,488.71,Australia
68692,1189,2025-10-22 06:16:48.350205,5,293.15,India
71744,1224,2025-11-09 06:16:48.350205,6,434.1,Germany
25810,1384,2025-09-21 06:16:48.350205,8,476.88,Australia
15126,1376,2026-01-08 06:16:48.350205,1,339.3,India
40009,1282,2025-05-19 06:16:48.350205,1,276.72,Germany
10192,1957,2025-12-01 06:16:48.350205,4,6.74,Australia
46413,1632,2025-09-22 06:16:48.350205,5,24.81,Germany
22816,1627,2025-04-16 06:16:48.350205,9,104.42,UK
49082,1972,2025-08-02 06:16:48.350205,7,97.07,India
75048,1744,2025-12-27 06:16:48.350205,7,131.11,Germany
60940,1258,2025-12-21 06:16:48.350205,8,155.94,Germany
42130,1358,2025-06-12 06:16:48.350205,5,183.23,UK
50142,1709,2025-11-30 06:16:48.350205,5,213.17,Australia
46468,1455,2026-01-25 06:16:48.350205,1,53.94,Australia
40698,1410,2025-03-12 06:16:48.350205,9,25.97,USA
20655,1648,2025-09-01 06:16:48.350205,6,338.6,USA
57897,1317,2026-02-27 06:16:48.350205,9,270.98,Australia
40075,1676,2025-11-08 06:16:48.350205,3,224.85,Canada
19359,1224,2026-01-27 06:16:48.350205,5,319.05,Canada
52056,1818,2025-12-03 06:16:48.350205,2,414.7,Germany
61831,1233,2025-09-02 06:16:48.350205,5,216.71,Australia
69191,1683,2025-05-23 06:16:48.350205,8,322.35,USA
43272,1663,2026-02-24 06:16:48.350205,2,477.02,Germany
24671,1974,2025-03-21 06:16:48.350205,8,420.61,India
37048,1826,2025-07-20 06:16:48.350205,4,215.87,USA
86274,1373,2025-05-24 06:16:48.350205,1,324.13,USA
35963,1671,2025-06-24 06:16:48.350205,5,92.65,USA
53954,1607,2025-08-20 06:16:48.350205,1,282.46,Canada
82309,1471,2025-04-28 06:16:48.350205,7,490.76,UK
10717,1232,2025-12-29 06:16:48.350205,8,261.57,UK
21676,1691,2025-11-12 06:16:48.350205,3,464.18,Canada
14434,1112,2025-05-23 06:16:48.350205,3,206.63,Australia
59810,1829,2026-02-02 06:16:48.350205,7,499.43,Australia
14994,1496,2025-05-18 06:16:48.350205,4,291.71,Canada
14234,1441,2025-07-14 06:16:48.350205,3,25.92,Canada
79300,1563,2025-08-05 06:16:48.350205,8,295.44,Australia
53949,1267,2025-07-03 06:16:48.350205,3,140.91,UK
47405,1509,2025-12-28 06:16:48.350205,7,21.08,Germany
44872,1806,2025-06-25 06:16:48.350205,2,411.32,Canada
52215,1385,2025-04-01 06:16:48.350205,1,141.49,Germany
33185,1386,2025-06-04 06:16:48.350205,6,399.29,Germany
53442,1112,2025-12-02 06:16:48.350205,8,147.67,India
61759,1612,2025-06-20 06:16:48.350205,1,101.19,UK
51153,1624,2025-04-25 06:16:48.350205,9,487.1,Germany
87535,1951,2025-11-08 06:16:48.350205,3,184.01,UK
12581,1080,2025-09-01 06:16:48.350205,3,302.68,UK
61717,1698,2025-06-25 06:16:48.350205,4,306.94,India
12763,1112,2026-01-29 06:16:48.350205,1,282.43,Australia
65480,1001,2026-02-18 06:16:48.350205,9,457.77,UK
48759,1641,2025-09-22 06:16:48.350205,3,338.85,Germany
86067,1219,2025-07-25 06:16:48.350205,4,204.85,Australia
35307,1565,2025-12-14 06:16:48.350205,1,431.88,Australia
21064,1854,2025-10-12 06:16:48.350205,4,94.63,USA
86848,1996,2025-08-17 06:16:48.350205,1,274.4,Germany
47548,1735,2025-07-14 06:16:48.350205,5,475.52,Germany
46945,1224,2026-01-27 06:16:48.350205,5,314.57,UK
57937,1384,2025-04-10 06:16:48.350205,7,409.4,Germany
16476,1402,2025-05-17 06:16:48.350205,8,328.51,USA
61756,1637,2026-01-02 06:16:48.350205,4,420.49,UK
12382,1129,2025-03-17 06:16:48.350205,7,472.52,Canada
59683,1052,2026-02-25 06:16:48.350205,4,140.1,Germany
97999,1683,2026-01-03 06:16:48.350205,3,88.98,Germany
55276,1729,2025-10-23 06:16:48.350205,6,244.58,India
43402,1671,2025-05-11 06:16:48.350205,4,352.42,Canada
36946,1709,2025-05-26 06:16:48.350205,3,117.46,Canada
89698,1415,2025-09-25 06:16:48.350205,9,7.03,USA
83933,1246,2025-09-07 06:16:48.350205,5,174.75,Canada
32335,1835,2025-06-27 06:16:48.350205,7,484.59,India
55095,1438,2025-06-15 06:16:48.350205,6,349.01,USA
89930,1202,2025-03-12 06:16:48.350205,5,203.66,Canada
37197,1183,2026-02-03 06:16:48.350205,7,100.33,USA
32010,1122,2025-08-21 06:16:48.350205,6,181.26,Canada
34123,1400,2025-10-03 06:16:48.350205,2,89.07,Canada
97923,1766,2025-03-16 06:16:48.350205,3,57.62,Australia
12890,1293,2025-07-16 06:16:48.350205,2,453.84,Canada
18026,1279,2025-07-02 06:16:48.350205,3,498.84,Germany
74925,1836,2026-01-03 06:16:48.350205,1,86.24,Canada
78842,1883,2025-12-13 06:16:48.350205,8,31.99,Germany
43665,1609,2025-03-02 06:16:48.350205,6,168.22,UK
19277,1197,2025-06-01 06:16:48.350205,2,233.52,Australia
52239,1981,2025-04-01 06:16:48.350205,8,106.39,India
57664,1906,2025-07-12 06:16:48.350205,6,154.21,USA
58008,1510,2026-01-14 06:16:48.350205,7,104.43,USA
24683,1751,2025-05-04 06:16:48.350205,1,388.26,UK
10670,1143,2025-07-23 06:16:48.350205,7,357.73,Canada
99211,1608,2025-03-15 06:16:48.350205,3,319.3,India
27889,1200,2025-11-07 06:16:48.350205,8,196.67,UK
65612,1123,2025-09-11 06:16:48.350205,6,454.98,UK
54535,1186,2025-06-12 06:16:48.350205,4,484.92,USA
88542,1325,2025-04-05 06:16:48.350205,8,90.95,Germany
64319,1463,2025-12-15 06:16:48.350205,9,115.39,Germany
31639,1348,2025-04-20 06:16:48.350205,2,265.19,Canada
74712,1770,2025-11-19 06:16:48.350205,6,50.17,Canada
26633,1659,2025-11-09 06:16:48.350205,5,221.04,UK
44660,1763,2025-09-20 06:16:48.350205,5,292.99,Canada
78975,1954,2025-11-26 06:16:48.350205,3,263.43,Germany
42172,1931,2026-01-27 06:16:48.350205,8,168.8,India
69197,1402,2025-08-19 06:16:48.350205,8,273.51,USA
68847,1345,2025-06-19 06:16:48.350205,5,479.61,Germany
21577,1962,2025-09-30 06:16:48.350205,8,106.98,Australia
87299,1510,2025-05-11 06:16:48.350205,8,329.14,Canada
30176,1146,2025-12-25 06:16:48.350205,3,26.48,USA
54386,1147,2025-06-17 06:16:48.350205,2,37.88,Australia
73972,1863,2025-09-23 06:16:48.350205,9,278.15,USA
99791,1710,2025-06-02 06:16:48.350205,2,56.94,UK
51003,1819,2025-08-26 06:16:48.350205,9,16.06,Canada
29996,1488,2025-04-10 06:16:48.350205,4,89.9,UK
96598,1928,2026-01-11 06:16:48.350205,2,284.6,USA
45931,1935,2025-07-28 06:16:48.350205,1,353.15,UK
45710,1639,2026-02-02 06:16:48.350205,4,105.23,Canada
44693,1550,2025-06-07 06:16:48.350205,9,335.79,Germany
45740,1337,2025-08-19 06:16:48.350205,9,95.33,India
87241,1871,2025-08-02 06:16:48.350205,4,308.66,Australia
86502,1640,2025-09-21 06:16:48.350205,9,208.92,Germany
27374,1778,2025-08-30 06:16:48.350205,6,328.63,USA
86674,1987,2025-06-15 06:16:48.350205,1,497.55,Germany
91471,1952,2026-02-05 06:16:48.350205,6,469.22,UK
55913,1472,2025-05-15 06:16:48.350205,9,7.12,Canada
76025,1945,2025-07-31 06:16:48.350205,2,443.29,Germany
54516,1150,2026-02-25 06:16:48.350205,6,37.91,Germany
97796,1414,2025-08-14 06:16:48.350205,2,476.76,Canada
36069,1989,2025-04-08 06:16:48.350205,4,144.5,UK
66233,1297,2026-01-01 06:16:48.350205,8,194.11,India
94811,1610,2025-06-09 06:16:48.350205,7,50.36,Germany
69049,1262,2025-11-23 06:16:48.350205,9,60.58,Australia
49178,1763,2025-05-07 06:16:48.350205,7,364.74,USA
42821,1143,2025-03-09 06:16:48.350205,1,472.44,UK
61727,1345,2026-01-09 06:16:48.350205,2,307.32,UK
70935,1623,2025-05-24 06:16:48.350205,6,359.35,Germany
26999,1571,2025-10-01 06:16:48.350205,7,382.18,Australia
72522,1880,2025-03-28 06:16:48.350205,3,135.09,Canada
48712,1001,2025-10-07 06:16:48.350205,9,27.39,Germany
74551,1896,2026-01-21 06:16:48.350205,7,5.93,Germany
50172,1303,2025-04-09 06:16:48.350205,6,178.57,Canada
43722,1253,2026-01-30 06:16:48.350205,6,124.52,USA
20625,1651,2025-04-23 06:16:48.350205,1,35.85,Canada
77165,1452,2025-05-04 06:16:48.350205,5,93.87,Germany
86509,1036,2025-10-07 06:16:48.350205,3,66.63,India
16859,1159,2025-09-08 06:16:48.350205,7,457.86,Canada
51609,1008,2025-04-17 06:16:48.350205,3,74.43,USA
53307,1232,2025-10-28 06:16:48.350205,5,271.14,Canada
31839,1098,2025-12-14 06:16:48.350205,7,298.59,Canada
37216,1658,2025-09-06 06:16:48.350205,3,274.03,UK
62953,1815,2025-12-21 06:16:48.350205,2,54.03,UK
94481,1207,2025-04-09 06:16:48.350205,6,162.81,Germany
70593,1130,2025-07-26 06:16:48.350205,8,30.38,Germany
82075,1403,2025-11-24 06:16:48.350205,4,200.86,Canada
59522,1151,2025-09-02 06:16:48.350205,9,98.36,India
14886,1053,2025-05-04 06:16:48.350205,8,283.01,Australia
17485,1119,2025-03-08 06:16:48.350205,7,347.94,Germany
41455,1672,2026-02-23 06:16:48.350205,7,268.4,Canada
26767,1919,2025-12-21 06:16:48.350205,3,219.95,Canada
38453,1627,2025-03-02 06:16:48.350205,6,196.73,Australia
86280,1586,2025-12-14 06:16:48.350205,5,421.64,Canada
63442,1624,2026-01-24 06:16:48.350205,1,113.59,Australia
61877,1967,2025-08-23 06:16:48.350205,3,368.44,Australia
22226,1419,2025-09-02 06:16:48.350205,1,379.95,Canada
32588,1421,2025-07-22 06:16:48.350205,4,212.5,Canada
88976,1103,2025-06-01 06:16:48.350205,3,152.16,UK
41709,1851,2025-05-13 06:16:48.350205,4,237.92,Australia
57788,1253,2025-09-19 06:16:48.350205,9,51.14,USA
98031,1226,2025-11-20 06:16:48.350205,3,27.74,Australia
47019,1111,2025-08-29 06:16:48.350205,6,60.24,USA
54948,1509,2026-01-15 06:16:48.350205,6,97.64,Canada
75133,1472,2025-06-19 06:16:48.350205,7,254.57,Germany
76458,1098,2025-08-30 06:16:48.350205,9,425.32,India
37526,1152,2025-12-01 06:16:48.350205,7,121.64,Canada
83493,1860,2025-10-02 06:16:48.350205,1,467.91,India
62198,1913,2026-01-28 06:16:48.350205,8,477.68,UK
53395,1895,2025-03-06 06:16:48.350205,5,479.66,USA
34031,1877,2025-08-22 06:16:48.350205,9,419.59,UK
85542,1337,2026-01-27 06:16:48.350205,5,185.09,Germany
47701,1705,2025-12-26 06:16:48.350205,5,40.98,Germany
35939,1821,2026-03-02 06:16:48.350205,2,286.57,Australia
59145,1162,2025-12-07 06:16:48.350205,3,281.55,Canada
30324,1719,2025-03-21 06:16:48.350205,9,425.74,Australia
32867,1956,2026-01-07 06:16:48.350205,7,498.02,Germany
10203,1680,2025-06-28 06:16:48.350205,1,256.54,Germany
26544,1995,2025-11-16 06:16:48.350205,3,175.88,Australia
25899,1160,2026-02-28 06:16:48.350205,2,97.02,UK
39063,1579,2025-10-02 06:16:48.350205,1,7.38,India
13748,1800,2025-08-05 06:16:48.350205,9,257.01,USA
76629,1397,2025-12-26 06:16:48.350205,8,279.98,Germany
90764,1276,2025-05-21 06:16:48.350205,5,413.34,Australia
30884,1815,2025-06-13 06:16:48.350205,2,254.77,Germany
35183,1915,2026-03-02 06:16:48.350205,1,458.65,UK
91570,1503,2025-07-08 06:16:48.350205,7,315.9,USA
81246,1895,2025-06-29 06:16:48.350205,2,420.97,UK
29259,1391,2025-12-26 06:16:48.350205,1,78.41,India
45959,1134,2025-03-19 06:16:48.350205,2,428.39,UK
43457,1194,2025-07-31 06:16:48.350205,7,339.2,USA
95679,1400,2025-09-13 06:16:48.350205,7,89.27,USA
12103,1639,2026-01-22 06:16:48.350205,6,98.93,Germany
75901,1032,2025-09-03 06:16:48.350205,5,463.62,India
54535,1687,2025-09-07 06:16:48.350205,3,20.95,Canada
26103,1459,2025-12-18 06:16:48.350205,3,233.95,Germany
88278,1954,2026-01-08 06:16:48.350205,9,160.17,Australia
22391,1882,2025-04-20 06:16:48.350205,4,334.21,UK
38901,1469,2025-10-20 06:16:48.350205,9,420.62,UK
91159,1374,2025-09-26 06:16:48.350205,4,183.39,USA
77914,1021,2025-04-02 06:16:48.350205,2,216.32,Australia
60357,1749,2026-01-31 06:16:48.350205,4,491.05,USA
96908,1669,2025-08-22 06:16:48.350205,6,393.04,Australia
48437,1037,2025-12-24 06:16:48.350205,6,449.12,USA
45503,1229,2025-06-07 06:16:48.350205,5,222.19,Canada
85403,1364,2025-07-26 06:16:48.350205,1,120.87,Canada
51258,1562,2026-01-05 06:16:48.350205,3,208.87,Germany
